"id","y","x"
"1",5.51635456081453,1
"1",11.0218759668732,2
"1",16.752260063635,3
"1",19.5977921539849,4
"1",25.08116569054,5
"1",29.9783229133609,6
"1",35.1294838189528,7
"1",39.2144136857107,8
"1",45.5196208524564,9
"1",48.7816249824841,10
"2",7.49410663984544,1
"2",12.3729795883719,2
"2",15.8948674251513,3
"2",19.9259874199965,4
"2",26.3853175059334,5
"2",28.0040104043504,6
"2",34.7207835000756,7
"2",38.6148265258981,8
"2",43.7827434376331,9
"2",47.8603504911785,10
"3",7.57888803209293,1
"3",10.7961901316712,2
"3",18.2697085626284,3
"3",24.046041588985,4
"3",28.2020655002118,5
"3",32.0032382019433,6
"3",39.5743224022685,7
"3",44.3434891894004,8
"3",50.8364458136555,9
"3",56.0054728385733,10
"4",7.3333229489665,1
"4",12.6284859492087,2
"4",18.747676458216,3
"4",23.3845987483132,4
"4",28.6289842029764,5
"4",34.3448422877853,6
"4",39.1427665335747,7
"4",45.3082909852496,8
"4",51.1379045227612,9
"4",56.9458368081654,10
"5",6.01259484532908,1
"5",11.4001349887496,2
"5",18.6727156754071,3
"5",27.0847944507809,4
"5",32.6784589808575,5
"5",40.1267595408147,6
"5",45.0096786346549,7
"5",51.6503282835389,8
"5",58.075408238229,9
"5",63.8555858247352,10
"6",5.9011168116383,1
"6",13.4388825208572,2
"6",17.1034523913913,3
"6",23.8945799439123,4
"6",27.7728320036058,5
"6",32.6345718303748,6
"6",39.2891605906416,7
"6",45.6748978819253,8
"6",51.3218087319587,9
"6",57.1990347640587,10
"7",4.69851192125558,1
"7",10.2519956000415,2
"7",11.217769174739,3
"7",14.7005299125486,4
"7",17.8240233079149,5
"7",19.7755067466689,6
"7",21.8301547950472,7
"7",25.7736872484278,8
"7",29.0479623663914,9
"7",31.2420401768233,10
"8",6.502546216983,1
"8",12.2162854678047,2
"8",16.7233398816643,3
"8",21.964427513512,4
"8",26.4599598747887,5
"8",30.7001200826259,6
"8",37.0850875407775,7
"8",41.5504134535004,8
"8",46.5844601598784,9
"8",49.698197037239,10
"9",7.05332367066883,1
"9",12.0093133550499,2
"9",19.6632026172229,3
"9",25.9161888307966,4
"9",32.1714479310243,5
"9",41.8326918689058,6
"9",46.940045047796,7
"9",54.0383579114114,8
"9",60.8069843719993,9
"9",68.1887499063938,10
"10",7.77333572362385,1
"10",14.7053494381905,2
"10",19.5754953390022,3
"10",26.3285785748746,4
"10",33.0961079376717,5
"10",40.1532829060256,6
"10",49.2774851311935,7
"10",54.7867661292921,8
"10",61.0670622220939,9
"10",68.1115596284076,10
